idx,audiocap_id,original_caption,neg_minimal_semantic_flip_gpt,neg_meaning_flip_claude,neg_visual_only_details,neg_reasoning_inference,neg_hallucinations,neg_quantitative_distortion,neg_partial_contradiction,neg_causal_inconsistency,neg_acoustic_scale_violation,neg_scene_coherence_violation,neg_different_words_different_meaning,neg_reasoning,neg_visual_info,neg_partial_hallucinations,neg_missing_info,neg_wrong_lex_sim,neg_wrong_lex_diff
25,105633,Repeated gunfire and screaming in the background,Repeated laughter and cheering in the background,Repeated gunfire and laughing in the background,"Repeated gunfire and screaming in the background, with a tall bearded man in a black jacket standing near a shattered window.","Repeated gunfire and screaming in the background, caused by a sudden ambush where people are fleeing in terror.","Repeated gunfire and screaming in the background, likely from a chaotic street protest near downtown Chicago, with panicked civilians shouting for help.",Repeated gunfire and screaming in the background briefly,Repeated gunfire and quiet screaming in the background,Screaming in the background and repeated gunfire,A single falling leaf drowns out repeated gunfire and screaming in the background,Repeated gunfire and screaming in the background while a quiet library's pages turn softly.,Wind rustles through tall grass as distant thunder rumbles across the plains.,"Repeated gunfire and screaming in the background, caused by a sudden ambush where people are fleeing in terror.","Repeated gunfire and screaming in the background, with a tall bearded man in a black jacket standing near a shattered window.",Repeated shouts and screaming in the background,Screaming is heard in the background.,Repeated gunfire and laughing in the background,Wind whistles through tall grass as distant thunder rumbles across the plains.
26,105632,An aircraft engine is taking off,An aircraft engine is landing,An aircraft engine is landing,A large white jet aircraft engine is taking off from a runway at sunset.,"An aircraft engine is taking off, roaring with power as the pilot accelerates down the runway, eager to break free from the ground and climb into the sky.","A Boeing 747’s jet engine is roaring to life on a foggy runway at Heathrow Airport, its turbines spinning with a deep, rumbling growl as the plane prepares for takeoff.",An aircraft engine is taking off briefly,A silent aircraft engine is taking off,An aircraft engine is taking off,A falling leaf drowns out an aircraft engine taking off,An aircraft engine is taking off while a single person quietly snores in a silent library.,"A choir sings in harmony inside a stone cathedral, voices echoing off ancient walls.","An aircraft engine is taking off, roaring with power as the pilot accelerates down the runway, eager to break free from the ground and climb into the sky.",A large white jet aircraft engine is taking off from a runway at sunset.,A jet engine is roaring,Mechanical noise is heard.,An aircraft engine is landing,"A choir sings in harmony inside a stone cathedral, their voices echoing off ancient walls."
27,105635,Water running with a main is speaking,Water running with a main is silent,A man is running with water speaking,Water running from a chrome faucet with a young man in a blue shirt speaking next to a kitchen window,"Water running with a man is speaking, likely trying to explain something while fixing a leak, feeling slightly rushed.",Water running loudly from a burst main pipe while a frustrated plumber in a blue uniform speaks urgently into a walkie-talkie in a dimly lit basement.,Water running with a main is speaking loudly,Still water running with a main is speaking,Water running with a main is speaking,A mouse's squeak drowns out water running with a main speaking,Water running with a main is speaking while ice cracks underfoot.,A train whistle echoes through a valley as wheels clatter over steel tracks.,"Water running with a man speaking, likely trying to explain something while fixing a leaky pipe in frustration.",Water running from a chrome faucet with a young man in a blue shirt speaking next to a kitchen window,Water running with a child crying,Water running is heard.,A man is running with water speaking,A train whistle echoes through a valley as wheels grind along steel tracks.
28,105634,A female speaking with some rustling followed by another female speaking,A female speaking with some rustling followed by another female silent,A female speaking with some rustling followed by another female silent,"A young woman in a white blouse is speaking while sitting at a wooden desk, with papers rustling nearby, followed by another woman wearing a red scarf speaking in a sunlit room.","A female speaking with some rustling, possibly adjusting her clothing nervously before another female speaks, trying to comfort her.","A young woman with a Southern accent speaks softly while flipping through pages of a leather-bound journal, followed by another woman in her 30s with a gentle laugh, speaking from a sunlit café corner in Portland.",A female speaking with some rustling followed by one female speaking,A female speaking with some quiet rustling followed by another female speaking,Another female speaking followed by a female speaking with some rustling,A mouse's squeak drowns out a female speaking with some rustling followed by another female speaking,A female speaking with some rustling followed by another female speaking while ocean waves crash nearby.,Metallic clinks echo as steam hisses from a pressure valve in a dim factory.,"A female speaking with some rustling, possibly adjusting her clothing nervously before another female speaks, trying to comfort her.",A young woman in a blue shirt speaking with some rustling followed by another woman with curly hair speaking while sitting at a wooden table.,A female speaking with some tapping followed by another female speaking,A female is speaking.,A female speaking with some rustling followed by another female silent,Metallic clinks echo as steam hisses from a pressure valve in a dim industrial kitchen.
29,105637,Males speaking and then a clock ticks twice,Females speaking and then a clock ticks twice,A clock speaks and then males tick twice,"Two bearded men in suits are speaking in a dimly lit room, and then a vintage brass clock on a wooden shelf ticks twice.","Males speaking and then a clock ticks twice, as if marking the passage of time while they deliberate nervously.","Two middle-aged American men speak earnestly in a dimly lit conference room, followed by the crisp ticking of a vintage grandfather clock echoing twice in the background.",Males speaking and then a clock ticks once,Males speaking and then a silent clock ticks twice,A clock ticks twice and then males speaking,A single dust particle settling overpowers males speaking and then a clock ticks twice,Males speaking and then a clock ticks twice while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"Males speaking and then a clock ticks twice, as if marking the passage of time while they deliberate nervously.","Two bearded men in suits are speaking in a dimly lit room, and then a vintage brass clock on a wooden shelf ticks twice.",Males speaking and then a phone rings twice,A clock ticks twice.,A clock speaks and then males tick twice,Wind howls through narrow alleyways as distant thunder rumbles overhead.
30,105636,An engine revving and then tires squealing,An engine idling and then tires whispering,Tires revving and then an engine squealing,A red sports car's engine revs on a sunlit driveway and then its tires squeal on asphalt.,"An engine revving and then tires squealing as the driver eagerly tries to accelerate quickly, feeling the thrill of speed.",A high-performance V8 engine revving aggressively before tires squeal sharply on wet asphalt outside a downtown racetrack at dusk.,An engine revving and then tires squealing loudly,An engine revving and then silent tires squealing,Tires squealing and then an engine revving,A cricket's chirp overpowers an engine revving and then tires squealing,An engine revving and then tires squealing while a frozen lake creaks underfoot.,Wind howls through narrow alleyways as distant church bells chime slowly.,"An engine revving and then tires squealing as the driver eagerly tries to accelerate quickly, feeling the thrill of speed.",A red sports car's engine revs on a sunlit driveway and then its tires squeal on asphalt.,An engine revving and then brakes screeching,Tires squealing.,Tires revving and then an engine squealing,Wind howls through narrow alleyways as distant church bells chime rhythmically.
31,102942,A woman speaking followed by a porcelain plate clanking as food and oil sizzles,A woman screaming followed by a porcelain plate clanking as food and oil sizzles,A porcelain plate speaking followed by a woman clanking as food and oil sizzles,A woman in a white apron speaking in a kitchen followed by a porcelain plate clanking on a wooden table as food and oil sizzles in a black cast-iron pan.,"A woman speaking followed by a porcelain plate clanking as food and oil sizzles, likely because she’s hurriedly setting the table while cooking dinner in anticipation of guests arriving soon.","A woman with a soft Southern accent speaks warmly in a cozy kitchen, followed by a delicate porcelain plate clanking as a sizzling steak and garlic oil bubble in a cast-iron skillet.",A woman speaking followed by a porcelain plate clanking as food and oil sizzles loudly,A silent woman speaking followed by a porcelain plate clanking as food and oil sizzles,A porcelain plate clanking as food and oil sizzles followed by a woman speaking,A mouse's squeak drowns out a woman speaking followed by a porcelain plate clanking as food and oil sizzles,A woman speaking followed by a porcelain plate clanking as food and oil sizzles while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles and a metal gate creaks open.,"A woman speaking followed by a porcelain plate clanking as food and oil sizzles, likely because she’s setting the table in a hurry before dinner guests arrive, feeling a bit flustered but determined to impress.","A woman wearing a white apron is speaking in a kitchen, followed by a porcelain plate clanking on a wooden table as food and oil sizzles in a black cast-iron skillet.",A woman speaking followed by a metal spoon clinking as food and oil sizzles,A woman speaking.,A porcelain plate speaking followed by a woman clanking as food and oil sizzles,Wind howls through narrow alleyways as distant thunder rumbles and a metal gate creaks open.
32,102943,An engine hums as it idles,An engine screams as it idles,An engine idles as it hums,A silver sedan's engine hums as it idles on a gravel driveway.,"An engine hums as it idles, patiently waiting for the driver to decide to pull away.",A vintage V8 engine hums smoothly as it idles in a dimly lit garage in rural Ohio.,An engine hums loudly as it idles,A silent engine hums as it idles,An engine hums as it idles,A falling leaf drowns out an engine humming as it idles,An engine hums as it idles while ocean waves crash nearby.,Wind rustles through tall grass as distant thunder rumbles.,"An engine hums as it idles, patiently waiting for the driver to decide to pull away.",A silver sedan's engine hums as it idles in a garage next to a wooden workbench.,A fan whirs as it idles,There is a low hum.,An engine idles as it hums,Wind whistles through narrow alleyways as distant church bells chime.
33,102940,Blowing of a horn as a train passes,Silence of a horn as a train passes,Blowing of a horn as a train approaches,Blowing of a horn as a blue freight train passes on tracks next to a field.,"Blowing of a horn as a train passes, signaling its approach to warn pedestrians and drivers in frustration at the delay.","A deep, resonant horn blares loudly as a vintage steam locomotive rumbles past a small rural station at dusk, its whistle echoing through the valley.",Blowing of a horn as a train passes briefly,Silent blowing of a horn as a train passes,A train passes as blowing of a horn,A falling leaf drowns out the blowing of a horn as a train passes,Blowing of a horn as a train passes while ocean waves crash nearby.,"A cello bows slowly in a dim concert hall, resonating with warm, trembling notes.","Blowing of a horn as a train passes, signaling its approach to warn pedestrians and drivers in frustration at the delay.",Blowing of a horn as a blue freight train passes on tracks beside a grassy field.,Whistle of a train as it passes,A train passes.,Blowing of a horn as a train approaches,A crowd cheers loudly as a referee blows a whistle during a soccer match.
34,102941,Short spray followed by louder longer spray,Short spray followed by quieter shorter spray,Loud longer spray followed by short spray,Short spray from a black garden hose followed by louder longer spray from a red pressure washer on a wooden deck.,"Short spray followed by louder longer spray, as if someone is testing the nozzle before fully cleaning the surface.","A short burst of water spray from a garden hose followed by a louder, longer spray as someone adjusts the nozzle in a sunny backyard.",Short spray followed by louder brief spray,Short silent spray followed by louder longer spray,Louder longer spray followed by short spray,A faint whisper overpowers the short spray followed by louder longer spray,Short spray followed by louder longer spray while dry desert wind blows hot.,A train whistle echoes through a valley as wheels clatter over tracks.,"Short spray followed by louder longer spray, as if someone is testing the nozzle before fully cleaning the surface.",Short spray from a silver nozzle followed by louder longer spray from a red hose lying on a concrete driveway.,Short burst followed by louder longer burst,A spray sound is heard.,Loud longer spray followed by short spray,A train whistle echoes through a valley as wheels clatter over tracks.
35,102946,A motor is revving and changing gears,A motor is idling and holding gears,A motor is idling and holding gears,A red motorcycle's motor is revving and changing gears on a sunny city street.,"A motor is revving and changing gears, as the driver eagerly accelerates to overtake another car on the highway.",A high-performance V8 motor is revving aggressively and shifting gears smoothly in a sleek red sports car on a winding mountain road.,A motor is revving and changing gears continuously for several minutes,A silent motor is revving and changing gears,A motor is revving and changing gears,A cricket's chirp overpowers a motor revving and changing gears,A motor is revving and changing gears while ice cracks underfoot.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"A motor is revving and changing gears, as the driver eagerly accelerates to overtake another car on the highway.",A red motorcycle's motor is revving and changing gears while parked on a gravel driveway.,A vacuum cleaner whirs and changes speed,Mechanical noise is heard.,A motor is idling and holding gears,Wind howls through narrow alleyways as distant thunder rumbles overhead.
36,102947,Humming from an engine slowing down then speeding up,Humming from an engine speeding up then slowing down,Humming from an engine speeding up then slowing down,A red sedan's engine hums while slowing down then speeding up on a sunlit highway.,"Humming from an engine slowing down then speeding up, as if the driver is testing the throttle response before merging onto the highway.","A vintage V8 engine humming steadily as it slows down from 60 mph, then revs powerfully back up to 80 mph on a quiet desert highway at dusk.",Humming from an engine slowing down then speeding up loudly,Silent humming from an engine slowing down then speeding up,Humming from an engine speeding up then slowing down,A single cricket's chirp overpowers the humming from an engine slowing down then speeding up,Humming from an engine slowing down then speeding up while a frozen lake creaks underfoot.,Wind whistles through tall grass as distant thunder rumbles across the plains.,"Humming from an engine slowing down then speeding up, as if the driver is testing the throttle before merging onto the highway.",Humming from a black sedan's engine slowing down then speeding up on a paved road next to a grassy field.,Whirring from a fan slowing down then speeding up,Engine noise is heard.,Humming from an engine speeding up then slowing down,Wind whistles through narrow alleyways as distant church bells chime rhythmically.
37,102944,A baby cries as a woman speaks with other speech background noise,A baby laughs as a woman cries with other speech background noise,A baby speaks as a woman cries with other speech background noise,A baby in a blue onesie cries as a woman wearing a red sweater speaks with other speech background noise in a sunlit nursery.,"A baby cries as a woman speaks with other speech background noise, likely because the baby is tired and wants attention, while the woman is trying to calm it down amidst a busy social gathering.","A newborn baby cries softly in a cozy nursery as a young mother speaks gently to a friend on the phone, with muffled chatter from a nearby living room adding background noise.",A baby cries as a woman speaks with other speech background noise loudly,A silent baby cries as a woman speaks with other speech background noise,A woman speaks with other speech background noise as a baby cries,A baby's faint sigh overpowers a woman speaking with other speech background noise,A baby cries as a woman speaks with other speech background noise while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles and a metal gate creaks open.,"A baby cries as a woman speaks with other speech background noise, likely because the baby is tired and wants attention, while the woman is trying to calm it down amidst a busy social gathering.",A baby in a blue onesie cries as a woman wearing a red sweater speaks with other speech background noise in a sunlit nursery.,A baby cries as a man speaks with other speech background noise,A baby cries.,A baby speaks as a woman cries with other speech background noise,Wind howls through narrow alleyways as distant thunder rumbles overhead.
38,102945,Ocean waves crashing in the distance as young girl talks followed by a young man talking while a group of children laughs in the background and wind blows into a microphone,Ocean waves crashing in the distance as young girl laughs followed by a young man laughing while a group of children talks in the background and wind blows into a microphone,Ocean waves crashing in the distance as young man talks followed by a young girl talking while a group of children laughs in the background and wind blows into a microphone,"Ocean waves crashing in the distance as a young girl in a blue sundress talks, followed by a tall young man wearing a straw hat talking while a group of children in colorful swimsuits laughs in the background and wind blows into a microphone near a sandy beach.","Ocean waves crashing in the distance as young girl talks, perhaps sharing a story she’s excited to tell, followed by a young man talking calmly, trying to comfort or guide her, while a group of children laughs in the background, clearly enjoying a playful moment, and wind blows into a microphone — likely because someone forgot to shield it, adding an unintended rawness to the scene.","Ocean waves crash rhythmically against rocky cliffs in the distance as a cheerful young girl with braided hair talks animatedly about her seashell collection, followed by a confident young man in a navy hoodie speaking softly into a vintage Shure microphone while a group of giggling children—exactly seven of them—play tag nearby and a steady coastal breeze whispers through the mic’s windscreen.",Ocean waves crashing in the distance as young girl talks followed by a young man talking while one child laughs in the background and wind blows into a microphone,Ocean waves crashing in the distance as young girl talks followed by a young man talking while a group of children laughs in the background and soundless wind blows into a microphone,A young man talking while a group of children laughs in the background and wind blows into a microphone followed by ocean waves crashing in the distance as young girl talks,A single grain of sand falling into the ocean overpowers ocean waves crashing in the distance as young girl talks followed by a young man talking while a group of children laughs in the background and wind blows into a microphone,Ocean waves crashing in the distance as young girl talks followed by a young man talking while a group of children laughs in the background and wind blows into a microphone while dry leaves crackle underfoot,"A train whistle echoes through a valley as metal wheels grind on rails, accompanied by the rhythmic clatter of a passing freight car and the distant hum of a diesel engine.","Ocean waves crashing in the distance as young girl talks, perhaps sharing a story she’s excited to tell, followed by a young man talking calmly, trying to comfort or guide her, while a group of children laughs in the background, likely reacting to a silly joke, and wind blows into a microphone, suggesting they’re outdoors near the shore, maybe before a sudden gust interrupts the moment.","Ocean waves crashing in the distance as a young girl in a blue sundress talks, followed by a tall young man wearing a straw hat talking while a group of children in colorful swimsuits laughs in the background and wind blows into a microphone on a wooden pier.",Ocean waves crashing in the distance as young girl talks followed by a young man talking while a group of children claps in the background and wind blows into a microphone,Wind blows into a microphone.,Ocean waves crashing in the distance as young man talks followed by a young girl talking while a group of children laughs in the background and wind blows into a microphone,"A train whistle echoes through a valley as metal wheels grind along rails, accompanied by the distant hum of a diesel engine and the rhythmic clatter of freight cars passing over a bridge."
39,102948,"An adult female speaks, and muted speech occurs briefly in the background","An adult female is silent, and loud speech occurs briefly in the background","Muted speech occurs briefly, and an adult female speaks in the background","An adult female wearing a blue blouse speaks, and muted speech occurs briefly in the background from someone standing near a window.","An adult female speaks, and muted speech occurs briefly in the background because she is trying to focus on her conversation while others are chatting nearby.","An adult female with a soft American accent speaks calmly, while muted speech from a child briefly echoes in the background of a cozy living room.","An adult female speaks, and muted speech occurs continuously for several minutes in the background","An adult female speaks, and loud silence occurs briefly in the background","Muted speech occurs briefly in the background, and an adult female speaks.","A mouse's squeak drowns out an adult female speaking, and muted speech occurs briefly in the background","An adult female speaks, and muted speech occurs briefly in the background while ocean waves crash loudly nearby.",Wind howls through narrow alleyways as distant thunder rumbles overhead.,"An adult female speaks, and muted speech occurs briefly in the background because she is trying to concentrate on her conversation while others are chatting nearby.","An adult female wearing a blue blouse speaks, and muted speech occurs briefly in the background from someone standing near a window.","An adult female speaks, and a child giggles briefly in the background",An adult female speaks.,"Muted speech occurs briefly, and an adult female speaks in the background",Wind howls through narrow alleyways as distant thunder rumbles overhead.
40,103707,A metal clank followed by motor vibrating and rumbling,A metal clank followed by motor silence and stillness,A motor clank followed by metal vibrating and rumbling,A metal clank followed by a rusty industrial motor vibrating and rumbling on a concrete floor in a dimly lit warehouse.,"A metal clank followed by motor vibrating and rumbling, likely because the machine is overheating and about to shut down from stress.","A rusty iron pipe clanks sharply, followed by a vintage diesel engine vibrating and rumbling deeply in an abandoned warehouse basement.",A metal clank followed by motor vibrating and rumbling softly,A silent metal clank followed by motor vibrating and rumbling,Motor vibrating and rumbling followed by a metal clank,A mouse's squeak overpowers a metal clank followed by motor vibrating and rumbling,A metal clank followed by motor vibrating and rumbling while ocean waves crash nearby.,Leaves rustle softly as wind whispers through tall pine trees.,"A metal clank followed by motor vibrating and rumbling, likely because the mechanic just tightened a loose bolt and is now testing the engine under stress.",A metal clank followed by motor vibrating and rumbling inside a rusty industrial machine on a concrete floor.,A metal clank followed by a fan whirring and humming,A metal clank is heard.,A metal clank followed by motor silent and still,Wind whistles through tall grass as distant thunder rumbles and leaves rustle overhead.
41,103706,Music and a man speaking followed by bleeps and someone singing,Silence and a man shouting followed by screams and someone crying,Music and a man speaking followed by bleeps and someone crying,Music and a bearded man wearing a suit speaking followed by bleeps and a young woman in a red dress singing on a stage.,"Music and a man speaking followed by bleeps and someone singing, likely because the broadcast is being censored for inappropriate content, and the singer is trying to fill the awkward silence with a cheerful tune.","Upbeat jazz music plays as a middle-aged man with a slight Southern accent speaks warmly into a vintage microphone, followed by three sharp electronic bleeps and a woman with a soulful voice singing softly in a dimly lit recording studio.",Music and a man speaking followed by bleeps and one person singing,Soundless music and a man speaking followed by bleeps and someone singing,Bleeps and someone singing followed by music and a man speaking,A mouse's squeak overpowers music and a man speaking followed by bleeps and someone singing,Music and a man speaking followed by bleeps and someone singing while ocean waves crash in the background.,Wind howls through narrow alleyways as distant thunder rumbles and a cat yowls from a rooftop.,"Music and a man speaking followed by bleeps and someone singing, likely as part of a radio broadcast where the bleeps are censoring inappropriate content and the singer is performing live in-studio with excitement.",Music and a bearded man wearing a suit speaking followed by bleeps and a young woman in a red dress singing on a stage under blue lights,Music and a woman speaking followed by bleeps and someone humming,Music is playing.,Music and a man speaking followed by bleeps and someone crying,Wind howls through narrow alleyways as distant thunder rumbles and a cat yowls from a rooftop.
42,103705,Motorboat engine screams as it accelerates,Motorboat engine whispers as it decelerates,Motorboat engine screams as it decelerates,A red motorboat's engine screams as it accelerates across a sunlit lake.,"Motorboat engine screams as it accelerates, the driver pushing hard in a desperate attempt to outrun an approaching storm.","A sleek Yamaha motorboat engine screams as it accelerates sharply across a sunlit lake near Lake Tahoe, sending ripples through the calm water.",Motorboat engine screams softly as it accelerates,Motorboat engine screams silently as it accelerates,Motorboat engine screams as it accelerates,A falling leaf drowns out a motorboat engine screaming as it accelerates,Motorboat engine screams as it accelerates while ice cracks underfoot.,Wind howls through narrow alleyways as distant church bells chime slowly.,"Motorboat engine screams as it accelerates, the driver pushing hard in a desperate attempt to outrun an approaching storm.",A red motorboat's engine screams as it accelerates across a sunlit lake.,Outboard motor revs as it accelerates,Engine noise is heard.,Motorboat engine screams as it decelerates,Wind howls through narrow alleyways as distant church bells chime slowly.
43,103704,A man speaking followed by another man speaking with some rustling,A man speaking followed by another man silent with some rustling,A man speaking followed by another man silent with some rustling,A tall man in a suit speaking followed by a bearded man wearing a hat speaking with some rustling next to a window,"A man speaking followed by another man speaking with some rustling, as if they are sitting close together and one is shifting papers nervously while trying to make a point in a tense meeting.","A middle-aged American man in a navy blue suit speaks earnestly into a vintage Shure microphone, followed by a younger man with a slight Southern accent speaking softly while adjusting his tie, with faint rustling of paper pages in the background.",A man speaking followed by another man speaking with deafening rustling,A man speaking followed by another man speaking with some silent rustling,A man speaking followed by another man speaking with some rustling,A mouse's squeak drowns out a man speaking followed by another man speaking with some rustling,A man speaking followed by another man speaking with some rustling while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles and a lone bicycle bell dings faintly.,"A man speaking followed by another man speaking with some rustling, as if they are sitting close together and one is shifting papers nervously while trying to make a point in a tense meeting.",A tall man in a suit speaking followed by a bearded man wearing a hat speaking with some rustling next to a window,A man speaking followed by a woman speaking with some rustling,A man is speaking.,A man speaking followed by another man silent with some rustling,Wind howls through narrow alleyways as distant thunder rumbles overhead.
44,103703,A vehicle horn honking followed by a large truck engine accelerating while wind blows lightly into a microphone,A vehicle horn silencing followed by a large truck engine decelerating while wind blows heavily into a microphone,A vehicle horn honking followed by a large truck engine decelerating while wind blows lightly into a microphone,A red semi-truck's horn honking followed by its large diesel engine accelerating while wind blows lightly into a microphone on a wooden dashboard,"A vehicle horn honking followed by a large truck engine accelerating while wind blows lightly into a microphone, likely because the truck driver is impatient and trying to merge into traffic quickly.","A red semi-truck with chrome accents honks its air horn sharply before accelerating loudly down a rural highway, while a gentle breeze rustles through nearby pine trees and whispers into the microphone.",A vehicle horn honking followed by a large truck engine accelerating while wind blows deafeningly into a microphone,A silent vehicle horn honking followed by a large truck engine accelerating while wind blows lightly into a microphone,A large truck engine accelerating while wind blows lightly into a microphone followed by a vehicle horn honking,A mouse's squeak overpowers a vehicle horn honking followed by a large truck engine accelerating while wind blows lightly into a microphone,A vehicle horn honking followed by a large truck engine accelerating while wind blows lightly into a microphone and ocean waves crash nearby.,A choir sings in harmony inside a stone cathedral as distant church bells chime and footsteps echo on marble floors.,"A vehicle horn honking followed by a large truck engine accelerating while wind blows lightly into a microphone, likely because the truck driver is impatiently trying to merge into traffic before the light turns red.",A red semi-truck's horn honking followed by its large diesel engine accelerating while wind blows lightly into a microphone on a wooden dashboard inside the cab.,A vehicle horn honking followed by a large truck engine accelerating while rain patters lightly into a microphone,Wind blows lightly into a microphone.,A vehicle horn honking followed by a large truck engine decelerating while wind blows lightly into a microphone,A choir sings in harmony inside a stone cathedral as distant church bells chime and footsteps echo on marble floors.
45,103702,"Many insects are buzzing and rustling is occurring, while an adult male speaks","Many insects are silent and stillness is occurring, while an adult male speaks","Many insects are silent and rustling is occurring, while an adult male speaks","Many black beetles are buzzing and rustling among green leaves, while an adult male wearing a blue shirt speaks standing in a garden.","Many insects are buzzing and rustling is occurring, while an adult male speaks, seemingly trying to calm himself down after getting lost in the woods.","A swarm of honeybees is buzzing energetically near a sunlit meadow hedge, while a middle-aged man with a slight Southern accent speaks thoughtfully into a vintage microphone inside a cozy wooden cabin.","One insect is buzzing and rustling is occurring, while an adult male speaks","Many insects are buzzing and quiet rustling is occurring, while an adult male speaks","Many insects are buzzing and rustling is occurring, while an adult male speaks","A single insect's buzz overpowers many insects buzzing and rustling occurring, while an adult male speaks","Many insects are buzzing and rustling is occurring, while an adult male speaks as ocean waves crash nearby.",A train whistle echoes through a valley as wheels clatter over steel tracks.,"Many insects are buzzing and rustling is occurring, while an adult male speaks, seemingly trying to calm himself down as he walks through the woods at dusk.","Many black beetles are buzzing and rustling among green leaves on a wooden fence, while an adult male wearing a straw hat speaks in a sunlit garden.","Many insects are buzzing and leaves rustle, while an adult male speaks",An adult male is speaking.,"Many insects are silent and rustling is occurring, while an adult male speaks",A train whistle echoes across a valley as wheels clatter over steel tracks.
46,103701,People speaking with loud bangs followed by a slow motion rumble,People screaming with loud bangs followed by a slow motion rumble,People speaking with loud bangs followed by a fast motion rumble,"People speaking in a crowded room with loud bangs followed by a slow motion rumble, one man wearing a blue shirt and another standing near a window.","People speaking with loud bangs followed by a slow motion rumble, likely reacting in panic as they realize an explosion just occurred nearby and are bracing for the shockwave.","A group of panicked tourists in a crowded Tokyo street are speaking frantically as loud bangs from nearby fireworks explode, followed by a slow-motion rumble echoing through the city’s steel-and-glass canyons.",One person speaking with loud bangs followed by a slow motion rumble,People speaking with quiet bangs followed by a slow motion rumble,A slow motion rumble followed by people speaking with loud bangs,A single whisper overpowers people speaking with loud bangs followed by a slow motion rumble,People speaking with loud bangs followed by a slow motion rumble while a frozen lake creaks underfoot.,Wind whistles through tall grass as distant thunder rumbles and leaves rustle underfoot.,"People speaking with loud bangs followed by a slow motion rumble, likely reacting in panic as they realize an explosion has just occurred nearby.","People speaking in a crowded room with loud bangs followed by a slow motion rumble, one man wearing a blue shirt and another standing near a window.",People speaking with sharp cracks followed by a slow motion rumble,People speaking.,People speaking with loud bangs followed by a fast motion rumble,Wind whistles through tall grass as distant thunder rumbles and leaves rustle underfoot.
47,107162,A couple of men speaking as metal clanks and a power tool operates,A couple of men silent as metal clanks and a power tool operates,Metal clanks as a couple of men speak and a power tool operates,Two bearded men wearing work gloves are speaking in a garage as metal clanks and a power tool operates next to a wooden workbench.,"A couple of men speaking as metal clanks and a power tool operates, likely arguing over a repair job while one nervously tries to fix a broken machine before a deadline.",Two construction workers in hard hats speak casually near a steel beam as metal clanks rhythmically and a DeWalt power drill whirs steadily in a sunlit warehouse.,One man speaking as metal clanks and a power tool operates,A couple of men speaking as metal clanks and a silent power tool operates,A couple of men speaking as a power tool operates and metal clanks,A single drop of water dripping overpowers a couple of men speaking as metal clanks and a power tool operates,A couple of men speaking as metal clanks and a power tool operates while ocean waves crash nearby.,Wind howls through tall pines as distant thunder rumbles and a crow calls from a treetop.,"A couple of men speaking as metal clanks and a power tool operates, likely arguing over a repair job while one nervously tries to fix a broken machine before a deadline.",Two bearded men in work shirts are speaking while standing in a garage as metal clanks and a power tool operates next to a wooden workbench.,A couple of men speaking as glass shatters and a power tool operates,A couple of men speaking.,Metal speaks as a couple of men clank and a power tool operates,Wind howls through canyon walls as distant thunder rumbles and leaves rustle violently.
48,103709,A man speaks and then whistles,A man whistles and then speaks,A man whistles and then speaks,A tall man wearing a blue shirt speaks and then whistles while standing next to a window.,"A man speaks and then whistles, trying to get someone's attention before they leave the room.","A middle-aged American man in a cozy cabin speaks softly before whistling a cheerful tune, likely from a 1950s musical.",A man speaks and then whistles loudly,A man speaks and then silently whistles,A man whistles and then speaks,A mouse's squeak drowns out a man speaking and then whistling,A man speaks and then whistles while ocean waves crash in the background.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"A man speaks and then whistles, trying to get someone's attention before they leave the room.",A tall bearded man wearing a blue shirt speaks and then whistles while standing next to a window.,A man speaks and then hums,A man speaks.,A man whistles and then speaks,Wind howls through narrow alleyways as distant thunder rumbles overhead.
