idx,audiocap_id,original_caption,pos_longer,pos_paraphrase,pos_active_passive,pos_split_sentences,pos_figurative_literal
81,102753,A group of people laughing followed by a man talking,"There is the sound of a group of people engaged in laughter, which is then followed by the sound of a man speaking.","After a burst of laughter from several individuals, a male begins to converse",Laughing by a group of people is followed by talking by a man,"A group of people are laughing. After that, a man is talking.","Laughter from a group of people fills the air, then a man’s voice carries through."
82,102751,Girl speaks and crunches plastic wrapping,A girl is producing speech sounds while simultaneously making crunching noises by manipulating plastic wrapping.,The sound of a young female vocalizing comes with the snap of plastic being crumpled,Plastic wrapping is crunched and speech is emitted by a girl.,"A girl speaks. At the same time, she crunches plastic wrapping.",A girl's voice speaks while plastic wrapping crackles under her fingers.
83,102750,Pigeons cooing as air lightly hisses in the background followed by a camera muffling,"The sound of pigeons producing cooing vocalizations is present, accompanied by a gentle hissing noise from the air in the background, and afterward there is the sound of a camera being muffled.","The gentle hiss of air rises behind the cooing of pigeons, then a camera’s sound is dampened",A camera muffling follows pigeons cooing as air lightly hisses in the background.,Pigeons are cooing. Air is lightly hissing in the background. This is followed by a camera muffling.,"Pigeons coo softly as a faint hiss of air fills the space, then a camera's sound is muffled."
84,102757,A series of compressed air spraying as a motor hums in the background,"There is a sequence of compressed air being sprayed, accompanied by the continuous humming sound of a motor operating in the background.",The background is filled with a motor’s low hum as bursts of pressurized air patter outward,A series of compressed air is being sprayed as a motor hums in the background,"Compressed air sprays in a series. At the same time, a motor hums in the background.",Compressed air hisses in bursts while a motor hums steadily beneath.
85,102756,Low ticktock sounds followed by objects moving,"There are low ticktock sounds occurring, followed by the audible movement of objects.",The rhythmic ticking fades as items shift position,Objects moving are followed by low ticktock sounds.,"Low ticktock sounds occur. After that, objects move.","A steady ticktock hums low, then gives way to the shuffle of objects shifting."
86,102755,"Gunshots fire, an adult male speaks, footfalls and clicking occur as other adult males speak, gunshots fire again, an adult male speaks, and a dog growls","The sound of gunshots being fired is present, followed by the voice of an adult male speaking; simultaneously, footfalls and clicking sounds occur while other adult males are also speaking; gunshots are fired once more, another adult male speaks, and a dog is producing low growling sounds.","Amidst the crack of gunfire, a man vocalizes; then, as footsteps and clicks echo alongside more male speech, another volley rings out, followed by further male utterances and the low rumble of a canine.","A series of gunshots are fired, speech is heard from an adult male, footfalls and clicking are heard as speech is heard from other adult males, gunshots are fired again, speech is heard from an adult male, and a growl is emitted by a dog.","Gunshots fire. An adult male speaks. Footfalls and clicking occur. At the same time, other adult males speak. Gunshots fire again. An adult male speaks. A dog growls.","Gunshots crack through the air, a man's voice cuts in, footsteps and clicks patter as other men speak, more gunshots ring out, another man speaks, and a dog growls low."
87,102754,Footsteps shuffling on snow alongside a camera muffling while wind blows into a microphone,"The sound of footsteps shuffling across snow is present, accompanied by the muffling noise of a camera, while wind is blowing directly into a microphone.",The shuffle of steps across snow coincides with the hush of a camera as wind rushes into the mic,Snow is being shuffled upon by footsteps alongside a camera being muffled while wind is blown into a microphone,"Footsteps shuffle on snow. At the same time, a camera muffles. Wind blows into a microphone.","Footsteps shuffle softly on snow, a camera’s hush mingles with wind that sighs into the mic."
88,102759,Duck quacking repeatedly,A duck is repeatedly producing quacking sounds.,The repeated yelps of a waterfowl fill the air,Quacking can be heard from a duck repeatedly.,Duck quacking repeatedly.,"A duck's quacks fill the air, one after another."
89,102758,Tribal drums playing as footsteps shuffle on wet dirt as frogs and crickets chirp in the background,"The sound of tribal drums is being played, accompanied by the shuffling of footsteps moving across wet dirt, while in the background, frogs and crickets are producing their characteristic chirping sounds.","The rhythmic beat of indigenous percussion echoes alongside the shuffle of feet across damp earth, while the croaks and chirps of amphibians and insects rise from behind the scene.",A series of tribal drums are being played as footsteps are shuffled on wet dirt as frogs and crickets are chirping in the background,"Tribal drums are playing. Footsteps shuffle on wet dirt. At the same time, frogs and crickets chirp in the background.","Tribal drums pulse through the air as footsteps shuffle on wet earth, with frogs and crickets weaving their chirps into the night."
90,107130,A rooster clucking followed by a dog whimpering then a man talking and a dog barking,"There is the sound of a rooster producing clucking vocalizations, which is followed by a dog emitting whimpering sounds, and then a man can be heard speaking, after which a dog is producing barking sounds.","After a rooster's cluck, a pup lets out a whimper, then a guy speaks as another canine yelps","Clucking of a rooster is followed by whimpering of a dog, then talking of a man and barking of a dog.","A rooster clucks. Then a dog whimpers. After that, a man talks and a dog barks.","A rooster's cluck gives way to a dog's whimper, then a man's voice chimes in as another dog barks."
91,107131,A power tool drill operating continuously,"A power tool, specifically a drill, is operating without interruption, producing continuous mechanical sounds.",The continuous whir of a power drill fills the air,Continuous operation of a power tool drill can be heard.,A power tool drill is operating. It continues without stopping.,"A power tool drill whirs steadily, filling the air with its constant buzz."
92,107132,A man speaking as birds are chirping,"A man is producing speech sounds while, concurrently, birds are emitting chirping vocalizations.","Amid the chirps of birds, a male is vocalizing",Speech is being spoken by a man as birds chirp.,"A man is speaking. At the same time, birds are chirping.",A man's voice weaves through the chirping of birds.
93,107133,"Pretend to scream and crying is occurring, and an adult male begins to speak","There is the sound of someone pretending to scream, and crying is also occurring simultaneously, while an adult male begins to speak.",A man starts addressing as simulated shrieks and weeping unfold,"Someone pretends to scream, crying is happening, and an adult male starts speaking.","Pretend screaming is occurring. Crying is occurring. At the same time, an adult male begins to speak.","A pretend scream and crying fill the air, then an adult male's voice breaks through."
94,107134,Metal scrapping against a wooden surface followed by sand scrapping then more metal scrapping against wood,"The sound of metal scraping against a wooden surface is heard, followed by the sound of sand scraping, and then once again the sound of metal scraping against wood.","First, a metallic scrape on wood, then sand grating, and afterward, another metallic scrape across timber","A wooden surface is scraped against by metal, followed by sand scraping, then more wood is scraped against by metal.","Metal scraps against a wooden surface. Then, sand scraps. After that, more metal scraps against wood.","Metal grates against wood, then sand rasps, then metal scrapes wood again—each sound carving through the quiet."
95,107135,A cat meows and a woman speaks,"A cat is producing meowing sounds, and simultaneously a woman is speaking.",The yowl of a feline is met with the vocalizations of a female,Meowing of a cat and speaking by a woman can be heard.,"A cat meows. At the same time, a woman speaks.",A cat's meow mingles with a woman's voice.
96,107136,Whistling as a man speaks,There is the sound of whistling occurring simultaneously with a man speaking.,A person is vocalizing while a whistle rises alongside,A man is whistling while speaking.,"A man is speaking. At the same time, someone is whistling.",A man's whistling weaves through his speech.
97,107137,"A mid-size motor vehicle engine is revving repeatedly, while people talk in the background","A mid-size motor vehicle engine is repeatedly revving, producing a continuous series of engine revving sounds, while in the background, multiple people are engaged in conversation, their voices audible as they talk.",The repeated revving of a medium-sized car's engine is heard as voices converse behind the scene,"A mid-size motor vehicle engine repeatedly revs, while people talk in the background.","A mid-size motor vehicle engine is revving repeatedly. At the same time, people talk in the background.","A mid-size car engine revs again and again, its growl cutting through the murmur of people talking nearby."
98,107138,A man is speaking as paper is crumpling,"A man is vocalizing speech while, concurrently, paper is undergoing the action of being crumpled, producing associated sounds.",The rustle of crumpled paper accompanies a male vocalizing,A man speaks as someone crumples paper.,"A man is speaking. At the same time, paper is crumpling.",A man's voice carries through the crisp rustle of crumpling paper.
99,107139,A vehicle engine revving then powering down,There is the sound of a vehicle engine revving up and then subsequently powering down.,The roar of a motor surges before fading away,The revving of a vehicle engine is followed by it powering down.,A vehicle engine is revving. Then it powers down.,A vehicle engine roars to life then fades into silence.
